location,Km,Transmission,Prix,Source,Modele,Carburant,Marque,Origine,Cv,Mc,PremiereMain,Portes,Couleur,Etat,MoisScraping,Prix_Neuf,BlueHDi,dCi,TDI,CRDi,EAT8,BVA,STT,Active,Allure,GT,Titanium,RS,S-Tronic,quattro,S-line,Business,Ambiance,Confort,Prestige,Pack,Promo,Life,Edition,Trend,Elegance,Premium,Techno,Explore,Executive,Dynamic,Intens,Luxe,Seductive,Stepway,promo,RS_Line,Multijet,Panorama,Combi,Enginereed,E-Tech,HEV,Prix_Expert
casablanca,156979,manuelle,91000.0,Rentals,dokker,diesel,dacia,unknown,6.0,2021,non,5.0,blanc,bon,10.0,153400.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,60439.6
casablanca,130211,automatique,245000.0,Classified,a6,diesel,audi,ww,8.0,2016,oui,5.0,unknown,bon,10.0,700000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209300.0
casablanca,89242,manuelle,72000.0,Rentals,dokker,diesel,dacia,unknown,6.0,2021,non,2.0,blanc,bon,10.0,153400.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,63354.2
casablanca,105569,automatique,183000.0,Rentals,3008,diesel,peugeot,unknown,6.0,2021,non,5.0,vert,bon,10.0,382900.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127334.1
casablanca,114386,automatique,265000.0,Classified,x5,diesel,bmw,ww,8.0,2016,oui,5.0,unknown,bon,10.0,743000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228101.0
casablanca,154397,automatique,317000.0,Classified,other,diesel,audi,maroc,12.0,2017,oui,5.0,marron,bon,10.0,698000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102606.0
fes,82499,automatique,227000.0,Classified,2008,diesel,peugeot,ww,6.0,2021,oui,5.0,unknown,excellent,10.0,275900.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,113946.7
casablanca,114625,manuelle,175000.0,Classified,q3,diesel,audi,ww,8.0,2012,oui,5.0,unknown,bon,10.0,585000.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179595.0
casablanca,82499,automatique,259000.0,Classified,seltos,diesel,kia,ww,6.0,2021,oui,5.0,unknown,excellent,10.0,315000.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130095.0
common.cities.casablanca,130000,automatique,230000.0,Classified,other,diesel,volkswagen,maroc,8.0,2019,non,5.0,gris,bon,10.0,380000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124260.0
casablanca,9036,manuelle,173000.0,Classified,sandero,diesel,dacia,ww,6.0,2025,oui,5.0,unknown,bon,10.0,185000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,148000.0
marrakech,170313,manuelle,260000.0,Classified,tiguan,diesel,volkswagen,ww,8.0,2020,oui,5.0,unknown,bon,10.0,448000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150976.0
casablanca,39868,manuelle,144000.0,Rentals,express,diesel,renault,unknown,6.0,2023,non,5.0,blanc,bon,10.0,181000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112039.0
casablanca,65434,manuelle,215000.0,Classified,focus,diesel,ford,ww,6.0,2023,oui,5.0,unknown,bon,10.0,326000.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,198208.0
tanger,175000,automatique,245000.0,Classified,other,diesel,audi,unknown,6.0,2019,non,5.0,unknown,bon,10.0,430000.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123410.0
tanger,100500,automatique,175000.0,Classified,308,diesel,peugeot,unknown,6.0,2019,non,5.0,unknown,bon,10.0,260900.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81139.9
casablanca,114272,manuelle,109000.0,Rentals,express,diesel,renault,unknown,6.0,2022,non,5.0,blanc,bon,10.0,177500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88750.0
casablanca,94565,automatique,240000.0,Classified,other,diesel,volkswagen,ww,8.0,2017,non,5.0,unknown,bon,10.0,470000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148050.0
casablanca,107401,manuelle,73000.0,Rentals,dokker,diesel,dacia,unknown,6.0,2021,non,2.0,blanc,bon,10.0,153400.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,62740.6
casablanca,94565,automatique,240000.0,Classified,other,diesel,volkswagen,ww,8.0,2017,non,5.0,unknown,bon,10.0,470000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148050.0
